adventure_id,adventure_title,source_book,publisher,page_count,decision,reason
ADV-0221,Wyrmdoom Crag,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0222,Icewind Dale: Rime of the Frostmaiden,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,258,REJECT,outside_qualified_page_domain
ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0224,Destruction's Light,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0225,Auril's Abode,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0226,Caves of Hunger,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0228,The Sinister Secret of Saltmarsh,Ghosts of Saltmarsh,Wizards of the Coast,23,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,REJECT,accepted_number_of_sessions_present
ADV-0231,Isle of the Abbey,Ghosts of Saltmarsh,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0233,Tammeraut's Fate,Ghosts of Saltmarsh,Wizards of the Coast,21,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0235,Dragonlance: Shadow of the Dragon Queen,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,151,REJECT,outside_qualified_page_domain
ADV-0236,When Home Burns,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,25,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0238,Wheelwatch Outpost,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0241,Sunward Fortress,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0243,Bluemaw Cave,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0244,Camp Carrionclay,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0245,City of Lost Names,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,26,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0246,Temple of Paladine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0247,Threshold of the Heavens,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0249,The Flying Citadel,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0250,Strixhaven: A Curriculum of Chaos,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,141,REJECT,outside_qualified_page_domain
ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0252,Campus Daredevils,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,9,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0253,Secrets in Sedgemoor,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0254,Hunt for Mage Tower,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,27,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0255,The Scriptoria Collections,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0258,Midnight at Lorehold,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0259,A Reckoning in Ruins,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,25,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0260,Clue in the Bayou,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0262,Lost Mine of Phandelver,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,61,REJECT,accepted_number_of_sessions_present
ADV-0263,Cragmaw Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0264,Redbrands' Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0265,Ruins of Thundertree,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0266,Cragmaw Castle,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0267,Wave Echo Cave,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0268,The Obelisk,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,124,REJECT,outside_qualified_page_domain
ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0270,Talhundereth,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0272,Gibbet Crossing,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0273,Illithinoch,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0275,Labyrinth of Eyes,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0276,Beyond a Lightless Star,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,32,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0277,The Wild Beyond the Witchlight,The Wild Beyond the Witchlight,Wizards of the Coast,204,REJECT,outside_qualified_page_domain
ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0279,Burly's Plan / The Heist,The Wild Beyond the Witchlight,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0280,Free Sir Talavar,The Wild Beyond the Witchlight,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0281,Downfall,The Wild Beyond the Witchlight,Wizards of the Coast,24,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0282,Loomlurch,The Wild Beyond the Witchlight,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0284,Brigganock Mine,The Wild Beyond the Witchlight,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0285,Motherhorn,The Wild Beyond the Witchlight,Wizards of the Coast,21,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0287,The House of Lament,Van Richten's Guide to Ravenloft,Wizards of the Coast,20,REJECT,accepted_number_of_sessions_present
ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0289,Fireball,Waterdeep: Dragon Heist,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0290,Encounter 1: Alley,Waterdeep: Dragon Heist,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0291,Encounter 2: Mistshore,Waterdeep: Dragon Heist,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0292,Encounter 4: Mausoleum,Waterdeep: Dragon Heist,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0293,Encounter 6: Theater,Waterdeep: Dragon Heist,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0294,Encounter 7: Old Tower,Waterdeep: Dragon Heist,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0295,Encounter 8: Courthouse,Waterdeep: Dragon Heist,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0296,Encounter 9: Cellar Complex,Waterdeep: Dragon Heist,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0297,Encounter 10: Converted Windmill,Waterdeep: Dragon Heist,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0298,Vault of Dragons,Waterdeep: Dragon Heist,Wizards of the Coast,9,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0300,Hell of a Summer,Waterdeep: Dragon Heist,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0301,Maestro's Fall,Waterdeep: Dragon Heist,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0302,Winter Wizardry,Waterdeep: Dragon Heist,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0303,Storm King's Thunder,Storm King's Thunder,Wizards of the Coast,212,REJECT,outside_qualified_page_domain
ADV-0304,A Great Upheaval,Storm King's Thunder,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0305,Dripping Caves,Storm King's Thunder,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0306,Tower of Zephyros,Storm King's Thunder,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0307,Bryn Shander,Storm King's Thunder,Wizards of the Coast,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0308,Goldenfields,Storm King's Thunder,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0309,Triboar,Storm King's Thunder,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0310,Eye of the All-Father,Storm King's Thunder,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0312,Den of the Hill Giants,Storm King's Thunder,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0313,Canyon of the Stone Giants,Storm King's Thunder,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0315,Forge of the Fire Giants,Storm King's Thunder,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0316,Castle of the Cloud Giants,Storm King's Thunder,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0317,Hold of the Storm Giants,Storm King's Thunder,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0318,Caught in the Tentacles,Storm King's Thunder,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0319,The Grand Dame,Storm King's Thunder,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0321,Doom of the Desert,Storm King's Thunder,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0322,Waterdeep: Dungeon of the Mad Mage,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,298,REJECT,outside_qualified_page_domain
ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0324,Arcane Chambers,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0325,Sargauth Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0326,Twisted Caverns,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0327,Wyllowwood,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0328,Lost Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0329,Maddgoth's Castle,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0330,Slitherswamp,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0331,Dweomercore,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0332,Muiral's Gauntlet,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0333,Troglodyte Warrens,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0334,Maze Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0336,Arcturiadoom,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0338,Crystal Labyrinth / Stardock,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0339,Seadeeps,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0340,Vanrakdoom,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0341,Caverns of Ooze,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0342,Runestone Caverns,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0344,Shadowdusk Hold,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
